Candidate,Date,Headline,Site
trump,2016-11-20,Indian Business Partners Hope to Exploit Their Ties to Donald Trump,New York Times
trump,2016-11-20,Donald Trump Meeting Suggests He Is Keeping Up His Business Ties,New York Times
trump,2016-11-20,Alec Baldwin Returns to ‘S.N.L.’ as President-Elect Trump,New York Times
trump,2016-11-20,Obama Tries to Reassure Latin America About a Future With Donald Trump,New York Times
trump,2016-11-20,What Trump’s Climate Legacy Could Look Like,New York Times
trump,2016-11-20,Kanye West Calls Out Beyoncé and Praises Trump in Onstage Tirade,New York Times
trump,2016-11-20,White Nationalists Celebrate ‘an Awakening’ After Donald Trump’s Victory,New York Times
trump,2016-11-20,Trump Turns Staid Process Into Spectacle as Aspirants Parade to His Door,New York Times
trump,2016-11-20,‘Hamilton’ Duel: Addressing the President-Elect on His Own Blunt Terms,New York Times
trump,2016-11-21,Trump Foundation Won’t Pay Any of $25 Million University Settlement,New York Times
trump,2016-11-21,"A List of Priorities From Trump, and Kris Kobach Tips His Hand",New York Times
trump,2016-11-21,Donald Trump’s Swamp Gets Murkier,New York Times
trump,2016-11-21,Trump Announces Policy Plans,New York Times
trump,2016-11-21,Melania and Barron Trump Won’t Immediately Move to White House,New York Times
trump,2016-11-21,"Where Donald Trump Stands on School Choice, Student Debt and Common Core",New York Times
trump,2016-11-21,How Hard (or Easy) It Will Be for Trump to Fulfill His 100-Day Plan,New York Times
trump,2016-11-21,Trump: Making America White Again,New York Times
trump,2016-11-21,Rally in Brooklyn Park Condemns Swastikas and ‘Go Trump’ Graffiti,New York Times
trump,2016-11-21,Alt-Right Gathering Exults in Trump Election With Nazi-Era Salute,New York Times
trump,2016-11-22,"Trump, on YouTube, Pledges to Create Jobs",New York Times
trump,2016-11-22,Gun Owners ‘Can Breathe Again’: Trump’s Win Emboldens Advocates,New York Times
trump,2016-11-22,Trump Foundation May Have Used Money to Benefit One of Its Own,New York Times
trump,2016-11-22,Donald Trump’s Business Dealings Test a Constitutional Limit,New York Times
trump,2016-11-22,"Grievances and Grumblings, Long Before Chris Christie’s Fall in Donald Trump’s Circle",New York Times
trump,2016-11-22,"Small Banks Cheer Trump. So, After a Pause, Do Big Ones.",New York Times
trump,2016-11-22,Civil Rights Groups Call on Trump to Denounce Racism of Alt-Right,New York Times
trump,2016-11-22,Donald Trump Drops Threat of New Hillary Clinton Investigation,New York Times
trump,2016-11-22,Mayor de Blasio Vows to Shield New Yorkers From Trump’s Policies,New York Times
trump,2016-11-22,Less Defiant Trump at The Times: ‘I Hope We Can All Get Along’,New York Times
trump,2016-11-23,"At Donald Trump’s Properties, a Showcase for a Brand and a President-Elect",New York Times
trump,2016-11-23,Donald Trump’s Early Backers in State Government May See Rewards,New York Times
trump,2016-11-23,Trump Diversifies Cabinet; Picks Nikki Haley and Betsy DeVos,New York Times
trump,2016-11-23,"In Betsy DeVos for Education, Trump Taps Into Michigan Royalty",New York Times
trump,2016-11-23,Donald Trump Close to Picking Ben Carson as Housing Secretary,New York Times
trump,2016-11-23,Book Publishers Scramble to Make Sense of Trump’s Rise to Victory,New York Times
trump,2016-11-23,Donald Trump’s New York Times Interview: Full Transcript,New York Times
trump,2016-11-23,Nikki Haley Chosen as U.N. Ambassador,New York Times
trump,2016-11-23,"Trump Tower, the Center of the Political Universe",New York Times
trump,2016-11-23,George Soros Pledges $10 Million to Fight Hate Crimes,New York Times
trump,2016-11-24,Trump to Accept Inauguration Funds From Corporations and Big Donors,New York Times
trump,2016-11-24,"Wilbur Ross, Billionaire Investor, Is Said to Be Trump’s Commerce Pick",New York Times
trump,2016-11-24,"A Battle to Change Medicare Is Brewing, Whether Trump Wants It or Not",New York Times
trump,2016-11-24,"Betsy DeVos, Trump’s Education Pick, Has Steered Money From Public Schools",New York Times
trump,2016-11-24,"Jared Kushner, Cast as Potential Player on Israel, Is Little Known There",New York Times
trump,2016-11-24,Carving Donald Trump,New York Times
trump,2016-11-24,Trump Cites Progress in Keeping Carrier Air Conditioning Plant in Indiana,New York Times
trump,2016-11-24,All the Clamor? Trump’s Palm Beach Neighbors See an Upside,New York Times
trump,2016-11-24,"Trump Signs, Trees and Accusations That a New York Agency Is Biased",New York Times
trump,2016-11-24,Would Trump Have Won Trump University Cases? Evidence Says He Faced Hard Fight,New York Times
