Date,Headline,Snippet,Headline_Cleaned,Snippet_Cleaned,Headline_Keywords,Headline_Stopwords,Headline_Tokens,Sentiment_Values,Sentiment,Snippet_Sentiment_Values,Snippet_Sentiment,Headline_polarity,Snippet_polarity
2016-11-11,David Plouffe: What I Got Wrong About the Election,I ran Obama’s 2008 campaign. Should I have known better this time?,David Plouffe: What I Got Wrong About the Election,I ran Obama’s 2008 campaign Should I have known better this time?,"David, Plouffe, :, Got, Wrong, Election","What, I, About, the","David, Plouffe, :, What, I, Got, Wrong, About, the, Election","[{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}]",neu,"[{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}]",neu,-0.4767,0.4404
2016-11-11,"On Staten Island, Pantsuit Nation Met Its Match","Excitement at Donald J. Trump’s victory was confined not merely to the distant, vast American territory of the Waffle House.","On Staten Island, Pantsuit Nation Met Its Match","Excitement at Donald J Trump’s victory was confined not merely to the distant, vast American territory of the Waffle House","Staten, Island, ,, Pantsuit, Nation, Met, Match","On, Its","On, Staten, Island, ,, Pantsuit, Nation, Met, Its, Match","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}]",neu,0.0,0.4939
2016-11-11,White Women Voted Trump. Now What?,White feminists have some work to do among their own.,White Women Voted Trump Now What?,White feminists have some work to do among their own,"White, Women, Voted, Trump, ?","Now, What","White, Women, Voted, Trump, Now, What, ?","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-11,Female Clinton Supporters Are Left Feeling Gutted,Clinton supporters across the country are just starting to process their feelings about the long roller coaster ride that in their view ended in disaster.,Female Clinton Supporters Are Left Feeling Gutted,Clinton supporters across the country are just starting to process their feelings about the long roller coaster ride that in their view ended in disaster,"Female, Clinton, Supporters, Left, Feeling, Gutted",Are,"Female, Clinton, Supporters, Are, Left, Feeling, Gutted","[{'neg': 0.0, 'neu': 0.532, 'pos': 0.468, 'compound': 0.5267}]",neu,"[{'neg': 0.137, 'neu': 0.767, 'pos': 0.097, 'compound': -0.296}]",neu,0.5267,-0.296
2016-11-11,The Democrats Screwed Up,The party bears plenty of blame for its sorry lot — and for the country’s.,The Democrats Screwed Up,The party bears plenty of blame for its sorry lot — and for the country’s,"Democrats, Screwed","The, Up","The, Democrats, Screwed, Up","[{'neg': 0.516, 'neu': 0.484, 'pos': 0.0, 'compound': -0.4939}]",neg,"[{'neg': 0.213, 'neu': 0.632, 'pos': 0.155, 'compound': 0.0}]",neu,-0.4939,0.0
2016-11-11,Republicans Expand Control in a Deeply Divided Nation,"The nation may be almost evenly split between Democrats and Republicans, but Republicans now control almost every level of government",Republicans Expand Control in a Deeply Divided Nation,"The nation may be almost evenly split between Democrats and Republicans, but Republicans now control almost every level of government","Republicans, Expand, Control, Deeply, Divided, Nation","in, a","Republicans, Expand, Control, in, a, Deeply, Divided, Nation","[{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.3182,0.0
2016-11-11,"In Democratic Stronghold of New York City, Trump Finds Support Among Orthodox Jews","The Orthodox Jewish community of Borough Park, Brooklyn, is where Mr. Trump drew most of his support in the city.","In Democratic Stronghold of New York City, Trump Finds Support Among Orthodox Jews","The Orthodox Jewish community of Borough Park, Brooklyn, is where Mr Trump drew most of his support in the city","Democratic, Stronghold, New, York, City, ,, Trump, Finds, Support, Orthodox, Jews","In, of, Among","In, Democratic, Stronghold, of, New, York, City, ,, Trump, Finds, Support, Among, Orthodox, Jews","[{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.4939}]",neu,"[{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.4522}]",neu,0.4939,0.4522
2016-11-11,Parents Navigate Tears and Cheers as Kids React to Election,Parents on both sides of the vote try to find teachable moments in the sometimes unpleasant aftermath of a divisive election.,Parents Navigate Tears and Cheers as Kids React to Election,Parents on both sides of the vote try to find teachable moments in the sometimes unpleasant aftermath of a divisive election,"Parents, Navigate, Tears, Cheers, Kids, React, Election","and, as, to","Parents, Navigate, Tears, and, Cheers, as, Kids, React, to, Election","[{'neg': 0.146, 'neu': 0.615, 'pos': 0.238, 'compound': 0.296}]",neu,"[{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.4767}]",neu,0.296,-0.4767
2016-11-11,Trump Floats an Olive Branch: Might Keep Parts of the Health Law,"The president-elect said that, after talking with President Obama this week, he might be willing to leave in place two popular provisions of the Affordable Care Act.",Trump Floats an Olive Branch: Might Keep Parts of the Health Law,"The president-elect said that, after talking with President Obama this week, he might be willing to leave in place two popular provisions of the Affordable Care Act","Trump, Floats, Olive, Branch, :, Parts, Health, Law","an, Might, Keep, of, the","Trump, Floats, an, Olive, Branch, :, Might, Keep, Parts, of, the, Health, Law","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.038, 'neu': 0.769, 'pos': 0.192, 'compound': 0.7003}]",neu,0.0,0.7003
2016-11-11,The Election Highlighted a Growing Rural-Urban Split,The polarization between the prosperous urban regions and the rural areas where people feel left behind was sharply clear in Tuesday’s vote.,The Election Highlighted a Growing Rural-Urban Split,The polarization between the prosperous urban regions and the rural areas where people feel left behind was sharply clear in Tuesday’s vote,"Election, Highlighted, Growing, Rural, -, Urban, Split","The, a","The, Election, Highlighted, a, Growing, Rural, -, Urban, Split","[{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.1779}]",neu,"[{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.6908}]",neu,0.1779,0.6908
2016-11-12,The Trump Stock Rally: Calamity Averted With a Little Charm,Markets that had heavily favored Hillary Clinton were poised to dive on election night. Then President-elect Donald J. Trump sweetened his tone.,The Trump Stock Rally: Calamity Averted With a Little Charm,Markets that had heavily favored Hillary Clinton were poised to dive on election night Then President-elect Donald J Trump sweetened his tone,"Trump, Stock, Rally, :, Calamity, Averted, Little, Charm","The, With, a","The, Trump, Stock, Rally, :, Calamity, Averted, With, a, Little, Charm","[{'neg': 0.121, 'neu': 0.654, 'pos': 0.225, 'compound': 0.2748}]",neu,"[{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.5859}]",neu,0.2748,0.5859
2016-11-12,Why Women Did Not Unite to Vote Against Donald Trump,Party has long outweighed gender when people vote. This election turned out to be no different.,Why Women Did Not Unite to Vote Against Donald Trump,Party has long outweighed gender when people vote This election turned out to be no different,"Women, Unite, Vote, Donald, Trump","Why, Did, Not, to, Against","Why, Women, Did, Not, Unite, to, Vote, Against, Donald, Trump","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.116, 'neu': 0.741, 'pos': 0.143, 'compound': 0.128}]",neu,0.0,0.128
2016-11-12,"Ohioans, Tired of Status Quo, Flipped to Trump for Change","The seeds of the biggest upset in American politics in recent memory were sewn in the Midwest, where decades of economic decay largely ignored by Democrats came back to haunt Hillary Clinton.","Ohioans, Tired of Status Quo, Flipped to Trump for Change","The seeds of the biggest upset in American politics in recent memory were sewn in the Midwest, where decades of economic decay largely ignored by Democrats came back to haunt Hillary Clinton","Ohioans, ,, Tired, Status, Quo, ,, Flipped, Trump, Change","of, to, for","Ohioans, ,, Tired, of, Status, Quo, ,, Flipped, to, Trump, for, Change","[{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}]",neu,"[{'neg': 0.269, 'neu': 0.731, 'pos': 0.0, 'compound': -0.8519}]",neu,-0.4404,-0.8519
2016-11-12,Trump Camp Refuses to Close Door on Campaign Pledge to ‘Lock Her Up’,A decision on whether to further investigate Hillary Clinton will indicate whether Donald Trump intends to look ahead or look back and settle political scores.,Trump Camp Refuses to Close Door on Campaign Pledge to ‘Lock Her Up’,A decision on whether to further investigate Hillary Clinton will indicate whether Donald Trump intends to look ahead or look back and settle political scores,"Trump, Camp, Refuses, Close, Door, Campaign, Pledge, ‘, Lock, ’","to, on, to, Her, Up","Trump, Camp, Refuses, to, Close, Door, on, Campaign, Pledge, to, ‘, Lock, Her, Up, ’","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-12,Is Fashion’s Love Affair With Washington Over?,"For the last eight years, designers have had a seat at the White House power table. The Trump administration may herald an end to all that.",Is Fashion’s Love Affair With Washington Over?,"For the last eight years, designers have had a seat at the White House power table The Trump administration may herald an end to all that","Fashion, Love, Affair, Washington, ?","Is, ’s, With, Over","Is, Fashion, ’s, Love, Affair, With, Washington, Over, ?","[{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}]",compound,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.6369,0.0
2016-11-12,Obama Lobbies Against Obliteration by Trump,How can Barack Obama not understand the Obama revolution?,Obama Lobbies Against Obliteration by Trump,How can Barack Obama not understand the Obama revolution?,"Obama, Lobbies, Obliteration, Trump","Against, by","Obama, Lobbies, Against, Obliteration, by, Trump","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-12,The Myth of Female Solidarity,Women’s loyalty to class and party trump their loyalty to one another.,The Myth of Female Solidarity,Women’s loyalty to class and party trump their loyalty to one another,"Myth, Female, Solidarity","The, of","The, Myth, of, Female, Solidarity","[{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.296}]",neu,"[{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.8658}]",compound,0.296,0.8658
2016-11-12,What Trump Exposed About the G.O.P.,The party’s appeal has been based on identity over ideology.,What Trump Exposed About the G.O.P,The party’s appeal has been based on identity over ideology,"Trump, Exposed, G.O.P","What, About, the","What, Trump, Exposed, About, the, G.O.P","[{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.0772}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.0772,0.0
2016-11-12,"How Erie Went Red: The Economy Sank, and Trump Rose","The working-class Pennsylvania county was once reliably Democratic. President Obama won it big in 2012. But this year, everything changed.","How Erie Went Red: The Economy Sank, and Trump Rose","The working-class Pennsylvania county was once reliably Democratic President Obama won it big in 2012 But this year, everything changed","Erie, Went, Red, :, Economy, Sank, ,, Trump, Rose","How, The, and","How, Erie, Went, Red, :, The, Economy, Sank, ,, and, Trump, Rose","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.5719}]",neu,0.0,0.5719
2016-11-12,How Federal Ethics Laws Will Apply to a Trump Presidency,Donald J. Trump’s financial dealings and vast web of businesses pose a number of potential conflicts as he prepares to lead the country.,How Federal Ethics Laws Will Apply to a Trump Presidency,Donald J Trump’s financial dealings and vast web of businesses pose a number of potential conflicts as he prepares to lead the country,"Federal, Ethics, Laws, Apply, Trump, Presidency","How, Will, to, a","How, Federal, Ethics, Laws, Will, Apply, to, a, Trump, Presidency","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.109, 'neu': 0.837, 'pos': 0.054, 'compound': -0.3182}]",neu,0.0,-0.3182
2016-11-13,Dave Chappelle Hosts ‘S.N.L.’ and Addresses the Protests Against Trump,"Kate McKinnon, as Hillary Clinton, sang the Leonard Cohen song “Hallelujah,” including the lyric, “I told the truth, I didn’t come to fool you.”",Dave Chappelle Hosts ‘S.N.L.’ and Addresses the Protests Against Trump,"Kate McKinnon, as Hillary Clinton, sang the Leonard Cohen song “Hallelujah,” including the lyric, “I told the truth, I didn’t come to fool you.”","Dave, Chappelle, Hosts, ‘, S.N.L., ’, Addresses, Protests, Trump","and, the, Against","Dave, Chappelle, Hosts, ‘, S.N.L., ’, and, Addresses, the, Protests, Against, Trump","[{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2263}]",neu,"[{'neg': 0.111, 'neu': 0.802, 'pos': 0.088, 'compound': -0.1531}]",neu,-0.2263,-0.1531
2016-11-13,Putting the Polling Miss of the 2016 Election in Perspective,"National polls missed the result by only a few points, but state polling systematically underestimated Donald J. Trump’s standing in the Upper Midwest and Northeast.",Putting the Polling Miss of the 2016 Election in Perspective,"National polls missed the result by only a few points, but state polling systematically underestimated Donald J Trump’s standing in the Upper Midwest and Northeast","Putting, Polling, Miss, 2016, Election, Perspective","the, of, the, in","Putting, the, Polling, Miss, of, the, 2016, Election, in, Perspective","[{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.1531}]",neu,"[{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.5023}]",neu,-0.1531,-0.5023
2016-11-13,"Donald Trump Appears to Soften Stance on Immigration, but Not on Abortion",The president-elect said his immigration priority was to deport up to three million undocumented immigrants rather than 11 million and that his border wall might be a fence in places.,"Donald Trump Appears to Soften Stance on Immigration, but Not on Abortion",The president-elect said his immigration priority was to deport up to three million undocumented immigrants rather than 11 million and that his border wall might be a fence in places,"Donald, Trump, Appears, Soften, Stance, Immigration, ,, Abortion","to, on, but, Not, on","Donald, Trump, Appears, to, Soften, Stance, on, Immigration, ,, but, Not, on, Abortion","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-13,"Donald Trump, Mosul, Supermoon: Your Weekend Briefing",Here’s what you need to know about the week’s top stories.,"Donald Trump, Mosul, Supermoon: Your Weekend Briefing",Here’s what you need to know about the week’s top stories,"Donald, Trump, ,, Mosul, ,, Supermoon, :, Weekend, Briefing",Your,"Donald, Trump, ,, Mosul, ,, Supermoon, :, Your, Weekend, Briefing","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.2023}]",neu,0.0,0.2023
2016-11-13,"Donald Trump Shouldn’t ‘Put His Children Out of Work,’ Giuliani Says",Rudolph W. Giuliani said it would be ‘unrealistic’ for Mr. Trump to remove his children from his business empire. Ethics experts said the remarks were misguided.,"Donald Trump Shouldn’t ‘Put His Children Out of Work,’ Giuliani Says",Rudolph W Giuliani said it would be ‘unrealistic’ for Mr Trump to remove his children from his business empire Ethics experts said the remarks were misguided,"Donald, Trump, ‘, Children, Work, ,, ’, Giuliani, Says","Should, n’t, Put, His, Out, of","Donald, Trump, Should, n’t, ‘, Put, His, Children, Out, of, Work, ,, ’, Giuliani, Says","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-13,"Obama Heads Overseas, Where Topic of Trump Will Follow Him","On Monday, the president will begin a trip that will take him to Greece, Germany and Peru. At every stop, he is sure to be asked how he got the election so wrong.","Obama Heads Overseas, Where Topic of Trump Will Follow Him","On Monday, the president will begin a trip that will take him to Greece, Germany and Peru At every stop, he is sure to be asked how he got the election so wrong","Obama, Heads, Overseas, ,, Topic, Trump, Follow","Where, of, Will, Him","Obama, Heads, Overseas, ,, Where, Topic, of, Trump, Will, Follow, Him","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.165, 'neu': 0.774, 'pos': 0.061, 'compound': -0.5982}]",neu,0.0,-0.5982
2016-11-13,"Red, Blue and Divided: Six Views of America","Reporters for The New York Times spoke with people across the country to understand the issues that split voters before the election, and today.","Red, Blue and Divided: Six Views of America","Reporters for The New York Times spoke with people across the country to understand the issues that split voters before the election, and today","Red, ,, Blue, Divided, :, Views, America","and, Six, of","Red, ,, Blue, and, Divided, :, Six, Views, of, America","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-13,Historians Assess Obama’s Legacy Under Trump’s Shadow,Political scholars offering the “first historical assessment” of the Obama presidency gather to make revisions after the stunning election.,Historians Assess Obama’s Legacy Under Trump’s Shadow,Political scholars offering the “first historical assessment” of the Obama presidency gather to make revisions after the stunning election,"Historians, Assess, Obama, Legacy, Trump, Shadow","’s, Under, ’s","Historians, Assess, Obama, ’s, Legacy, Under, Trump, ’s, Shadow","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.3818}]",neu,0.0,0.3818
2016-11-13,Donald Trump Picks Reince Priebus as Chief of Staff and Stephen Bannon as Strategist,"The appointments created rival centers of power and elevated the voice of Mr. Bannon, whose longtime website, Breitbart News, has traded in conspiracy theories and sometimes racist messages.",Donald Trump Picks Reince Priebus as Chief of Staff and Stephen Bannon as Strategist,"The appointments created rival centers of power and elevated the voice of Mr Bannon, whose longtime website, Breitbart News, has traded in conspiracy theories and sometimes racist messages","Donald, Trump, Picks, Reince, Priebus, Chief, Staff, Stephen, Bannon, Strategist","as, of, and, as","Donald, Trump, Picks, Reince, Priebus, as, Chief, of, Staff, and, Stephen, Bannon, as, Strategist","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.215, 'neu': 0.727, 'pos': 0.058, 'compound': -0.7506}]",neu,0.0,-0.7506
2016-11-14,"After Election Surprise, Marketers Rethink How to Study Consumers","After getting the presidential election wrong, some top ad executives are advocating direct communication and a greater reliance on emotional pleas over reasoning.","After Election Surprise, Marketers Rethink How to Study Consumers","After getting the presidential election wrong, some top ad executives are advocating direct communication and a greater reliance on emotional pleas over reasoning","Election, Surprise, ,, Marketers, Rethink, Study, Consumers","After, How, to","After, Election, Surprise, ,, Marketers, Rethink, How, to, Study, Consumers","[{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}]",neu,"[{'neg': 0.115, 'neu': 0.667, 'pos': 0.219, 'compound': 0.2023}]",neu,0.2732,0.2023
2016-11-14,"At Conference, Political Consultants Wonder Where They Went Wrong","The gathering was meant to be a celebration of big data and strategic wizardry, but after Donald J. Trump’s surprise win, “it’s like we’re at a funeral.”","At Conference, Political Consultants Wonder Where They Went Wrong","The gathering was meant to be a celebration of big data and strategic wizardry, but after Donald J Trump’s surprise win, “it’s like we’re at a funeral.”","Conference, ,, Political, Consultants, Wonder, Went, Wrong","At, Where, They","At, Conference, ,, Political, Consultants, Wonder, Where, They, Went, Wrong","[{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}]",neu,"[{'neg': 0.0, 'neu': 0.665, 'pos': 0.335, 'compound': 0.9022}]",compound,-0.4767,0.9022
2016-11-14,Donald Trump Trolled Us All. We Should Learn From It.,Democrats need to borrow his tactics.,Donald Trump Trolled Us All We Should Learn From It,Democrats need to borrow his tactics,"Donald, Trump, Trolled, Learn","Us, All, We, Should, From, It","Donald, Trump, Trolled, Us, All, We, Should, Learn, From, It","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
