Date,Headline,Snippet,Headline_Cleaned,Snippet_Cleaned,Headline_Keywords,Headline_Stopwords,Headline_Tokens,Sentiment_Values,Sentiment,Snippet_Sentiment_Values,Snippet_Sentiment,Headline_polarity,Snippet_polarity
2016-11-14,Trump’s Rural White America,Shifting demographics contribute to the sharp political divisions seen in this year’s election.,Trump’s Rural White America,Shifting demographics contribute to the sharp political divisions seen in this year’s election,"Trump, Rural, White, America",’s,"Trump, ’s, Rural, White, America","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-14,How Did Donald Trump Win Over So Many Obama Voters?,A review of the election includes a look at Hillary Clinton’s struggles with blue-collar whites and why you can’t always trust exit polls.,How Did Donald Trump Win Over So Many Obama Voters?,A review of the election includes a look at Hillary Clinton’s struggles with blue-collar whites and why you can’t always trust exit polls,"Donald, Trump, Win, Obama, Voters, ?","How, Did, Over, So, Many","How, Did, Donald, Trump, Win, Over, So, Many, Obama, Voters, ?","[{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.5859}]",neu,"[{'neg': 0.101, 'neu': 0.766, 'pos': 0.133, 'compound': 0.2023}]",neu,0.5859,0.2023
2016-11-14,A Newly Vibrant Washington Fears That Trump Will Drain Its Culture,"President Obama’s arrival in Washington coincided with an urban renaissance, an influx of young people and an explosion in restaurants. Many there worry that Mr. Trump will set the city back.",A Newly Vibrant Washington Fears That Trump Will Drain Its Culture,"President Obama’s arrival in Washington coincided with an urban renaissance, an influx of young people and an explosion in restaurants Many there worry that Mr Trump will set the city back","Newly, Vibrant, Washington, Fears, Trump, Drain, Culture","A, That, Will, Its","A, Newly, Vibrant, Washington, Fears, That, Trump, Will, Drain, Its, Culture","[{'neg': 0.197, 'neu': 0.563, 'pos': 0.239, 'compound': 0.1531}]",neu,"[{'neg': 0.088, 'neu': 0.912, 'pos': 0.0, 'compound': -0.4404}]",neu,0.1531,-0.4404
2016-11-14,"Putin and Trump Talk on Phone and Agree to Improve Ties, Kremlin Says","The leaders discussed trade and combating terrorism, with the Russian president saying he hoped for “noninterference in the other’s internal affairs.”","Putin and Trump Talk on Phone and Agree to Improve Ties, Kremlin Says","The leaders discussed trade and combating terrorism, with the Russian president saying he hoped for “noninterference in the other’s internal affairs.”","Putin, Trump, Talk, Phone, Agree, Improve, Ties, ,, Kremlin, Says","and, on, and, to","Putin, and, Trump, Talk, on, Phone, and, Agree, to, Improve, Ties, ,, Kremlin, Says","[{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.6597}]",neu,"[{'neg': 0.176, 'neu': 0.725, 'pos': 0.099, 'compound': -0.4588}]",neu,0.6597,-0.4588
2016-11-14,"Breitbart, Reveling in Trump’s Election, Gains a Voice in His White House","The right-wing opinion and news site championed Donald J. Trump; its chairman, who helped run the campaign, was named chief White House strategist and senior counselor.","Breitbart, Reveling in Trump’s Election, Gains a Voice in His White House","The right-wing opinion and news site championed Donald J Trump; its chairman, who helped run the campaign, was named chief White House strategist and senior counselor","Breitbart, ,, Reveling, Trump, Election, ,, Gains, Voice, White, House","in, ’s, a, in, His","Breitbart, ,, Reveling, in, Trump, ’s, Election, ,, Gains, a, Voice, in, His, White, House","[{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}]",neu,"[{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.296}]",neu,0.34,0.296
2016-11-14,"For Le Pen, the Impossible Now Seems Possible","After Brexit and Trump, the National Front’s leader foresees a trifecta for the West’s far right when France votes next spring.","For Le Pen, the Impossible Now Seems Possible","After Brexit and Trump, the National Front’s leader foresees a trifecta for the West’s far right when France votes next spring","Le, Pen, ,, Impossible, Possible","For, the, Now, Seems","For, Le, Pen, ,, the, Impossible, Now, Seems, Possible","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-14,"Pulling Democrats Back to ‘It’s the Economy, Stupid’","After losing the presidency, Congress and lower-level races, the party is divided over how aggressively to position itself on the economic left.","Pulling Democrats Back to ‘It’s the Economy, Stupid’","After losing the presidency, Congress and lower-level races, the party is divided over how aggressively to position itself on the economic left","Pulling, Democrats, ‘, Economy, ,, Stupid, ’","Back, to, It, ’s, the","Pulling, Democrats, Back, to, ‘, It, ’s, the, Economy, ,, Stupid, ’","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.184, 'neu': 0.714, 'pos': 0.102, 'compound': -0.296}]",neu,0.0,-0.296
2016-11-15,"Political Divide Splits Relationships — and Thanksgiving, Too","Families around the country are facing, or even skipping, uncomfortable holidays as the election’s repercussions enter people’s lives.","Political Divide Splits Relationships — and Thanksgiving, Too","Families around the country are facing, or even skipping, uncomfortable holidays as the election’s repercussions enter people’s lives","Political, Divide, Splits, Relationships, —, Thanksgiving, ,","and, Too","Political, Divide, Splits, Relationships, —, and, Thanksgiving, ,, Too","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.123, 'neu': 0.755, 'pos': 0.123, 'compound': 0.0}]",neu,0.0,0.0
2016-11-15,Protect Democracy First,"There are two kinds of issues: those worthy of passionate, ideological debate, and those that must unite everyone who believes in democratic values.",Protect Democracy First,"There are two kinds of issues: those worthy of passionate, ideological debate, and those that must unite everyone who believes in democratic values","Protect, Democracy",First,"Protect, Democracy, First","[{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.3818}]",pos,"[{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.8402}]",compound,0.3818,0.8402
2016-11-15,Why Did College-Educated White Women Vote for Trump?,A mother and her two daughters in a Pennsylvania town choose a different sort of 21st-century feminism.,Why Did College-Educated White Women Vote for Trump?,A mother and her two daughters in a Pennsylvania town choose a different sort of 21st-century feminism,"College, -, Educated, White, Women, Vote, Trump, ?","Why, Did, for","Why, Did, College, -, Educated, White, Women, Vote, for, Trump, ?","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-15,Exit Poll Oversimplification,"What’s being missed with generalizations about the working class, millennials, rural voters, and Southerners.",Exit Poll Oversimplification,"What’s being missed with generalizations about the working class, millennials, rural voters, and Southerners","Exit, Poll, Oversimplification",,"Exit, Poll, Oversimplification","[{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.0516}]",neu,"[{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}]",neu,0.0516,-0.296
2016-11-15,"Trump Won the Election, but 3 Manhattan Buildings Will Lose His Name","Hundreds of tenants at the buildings on Riverside Boulevard, which contain 1,325 apartments, signed a petition to “Dump the TRUMP name” last month.","Trump Won the Election, but 3 Manhattan Buildings Will Lose His Name","Hundreds of tenants at the buildings on Riverside Boulevard, which contain 1,325 apartments, signed a petition to “Dump the TRUMP name” last month","Trump, Won, Election, ,, 3, Manhattan, Buildings, Lose","the, but, Will, His, Name","Trump, Won, the, Election, ,, but, 3, Manhattan, Buildings, Will, Lose, His, Name","[{'neg': 0.238, 'neu': 0.604, 'pos': 0.158, 'compound': -0.296}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.296,0.0
2016-11-15,This Land Is Your Land: Reflections From Trump’s America,Dispatches from various states of the union that show a country at odds with itself.,This Land Is Your Land: Reflections From Trump’s America,Dispatches from various states of the union that show a country at odds with itself,"Land, Land, :, Reflections, Trump, America","This, Is, Your, From, ’s","This, Land, Is, Your, Land, :, Reflections, From, Trump, ’s, America","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-15,Presidential Forecast Post-Mortem,"The uncertainty was there all along, but perhaps we could have communicated it more effectively.",Presidential Forecast Post-Mortem,"The uncertainty was there all along, but perhaps we could have communicated it more effectively","Presidential, Forecast, Post, -, Mortem",,"Presidential, Forecast, Post, -, Mortem","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.09, 'neu': 0.685, 'pos': 0.226, 'compound': 0.5558}]",neu,0.0,0.5558
2016-11-15,What Jesse Ventura’s Minnesota Could Tell Us About Donald Trump’s America,Do political upheavals happen because voters care or because they don’t?,What Jesse Ventura’s Minnesota Could Tell Us About Donald Trump’s America,Do political upheavals happen because voters care or because they don’t?,"Jesse, Ventura, Minnesota, Tell, Donald, Trump, America","What, ’s, Could, Us, About, ’s","What, Jesse, Ventura, ’s, Minnesota, Could, Tell, Us, About, Donald, Trump, ’s, America","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.4939}]",neu,0.0,0.4939
2016-11-15,My Mother Saw Danger in This Election. She Crossed State Lines to Try to Stop It.,"Growing up black in Maryland, I thought of Virginia as the South. Why did my mother go there to volunteer?",My Mother Saw Danger in This Election She Crossed State Lines to Try to Stop It,"Growing up black in Maryland, I thought of Virginia as the South Why did my mother go there to volunteer?","Mother, Saw, Danger, Election, Crossed, State, Lines, Try, Stop","My, in, This, She, to, to, It","My, Mother, Saw, Danger, in, This, Election, She, Crossed, State, Lines, to, Try, to, Stop, It","[{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.6808}]",neu,"[{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.1779}]",neu,-0.6808,0.1779
2016-11-15,It All Started Here,"In New Hampshire, where Trump fever took hold in the first primary and never let go.",It All Started Here,"In New Hampshire, where Trump fever took hold in the first primary and never let go",Started,"It, All, Here","It, All, Started, Here","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-16,"Trump Defeated Clinton, Not Women","Admitting her flaws, and not just blaming sexism, should give women hope.","Trump Defeated Clinton, Not Women","Admitting her flaws, and not just blaming sexism, should give women hope","Trump, Defeated, Clinton, ,, Women",Not,"Trump, Defeated, Clinton, ,, Not, Women","[{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}]",neu,"[{'neg': 0.0, 'neu': 0.644, 'pos': 0.356, 'compound': 0.6734}]",compound,-0.4767,0.6734
2016-11-16,Did Moderates Help Elect Trump?,A small group of relatively centrist voters who weren’t expected to vote may have put Donald J. Trump over the top.,Did Moderates Help Elect Trump?,A small group of relatively centrist voters who weren’t expected to vote may have put Donald J Trump over the top,"Moderates, Help, Elect, Trump, ?",Did,"Did, Moderates, Help, Elect, Trump, ?","[{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}]",neu,"[{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2023}]",neu,0.4019,0.2023
2016-11-16,Catholic Bishops Challenge Donald Trump on Immigration,"In their annual conference, Catholic bishops elected new leaders and said they are preparing to defend immigrants and refugees against a wave of anger.",Catholic Bishops Challenge Donald Trump on Immigration,"In their annual conference, Catholic bishops elected new leaders and said they are preparing to defend immigrants and refugees against a wave of anger","Catholic, Bishops, Challenge, Donald, Trump, Immigration",on,"Catholic, Bishops, Challenge, Donald, Trump, on, Immigration","[{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.0772}]",neu,"[{'neg': 0.144, 'neu': 0.856, 'pos': 0.0, 'compound': -0.5719}]",neu,0.0772,-0.5719
2016-11-16,The Two Americas of 2016,A view of two imaginary nations created by slicing the country along the sharp divide between Republican and Democratic Americas.,The Two Americas of 2016,A view of two imaginary nations created by slicing the country along the sharp divide between Republican and Democratic Americas,"Americas, 2016","The, Two, of","The, Two, Americas, of, 2016","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.25}]",neu,0.0,0.25
2016-11-16,Trump’s Transition in a ‘Long History’ of Rocky Presidential Handovers,"Even under typical circumstances, the changeover from one administration to another has been compared to a giant corporate merger involving a $4 trillion budget.",Trump’s Transition in a ‘Long History’ of Rocky Presidential Handovers,"Even under typical circumstances, the changeover from one administration to another has been compared to a giant corporate merger involving a $4 trillion budget","Trump, Transition, ‘, Long, History, ’, Rocky, Presidential, Handovers","’s, in, a, of","Trump, ’s, Transition, in, a, ‘, Long, History, ’, of, Rocky, Presidential, Handovers","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-16,"‘The Ball’s in His Court,’ Mayor de Blasio Says After Meeting With Trump","Mr. de Blasio described the 62-minute meeting at Trump Tower with the president-elect, with whom he has a history of vitriol, as respectful, substantive and “very candid.”","‘The Ball’s in His Court,’ Mayor de Blasio Says After Meeting With Trump","Mr de Blasio described the 62-minute meeting at Trump Tower with the president-elect, with whom he has a history of vitriol, as respectful, substantive and “very candid.”","‘, Ball, Court, ,, ’, Mayor, de, Blasio, Says, Meeting, Trump","The, ’s, in, His, After, With","‘, The, Ball, ’s, in, His, Court, ,, ’, Mayor, de, Blasio, Says, After, Meeting, With, Trump","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.4588}]",neu,0.0,0.4588
2016-11-16,California Today: Did Trump Really Have a Shot at California?,"Wednesday: Trump country in the Golden State, a long-shot bid to end the Electoral College, and a new book on the McDonald’s empire.",California Today: Did Trump Really Have a Shot at California?,"Wednesday: Trump country in the Golden State, a long-shot bid to end the Electoral College, and a new book on the McDonald’s empire","California, Today, :, Trump, Shot, California, ?","Did, Really, Have, a, at","California, Today, :, Did, Trump, Really, Have, a, Shot, at, California, ?","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-16,Turkey’s Populists See an Unlikely Ally,Donald Trump’s Islamophobia isn’t enough to turn off President Recep Tayyip Erdogan and his supporters.,Turkey’s Populists See an Unlikely Ally,Donald Trump’s Islamophobia isn’t enough to turn off President Recep Tayyip Erdogan and his supporters,"Turkey, Populists, Unlikely, Ally","’s, See, an","Turkey, ’s, Populists, See, an, Unlikely, Ally","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}]",neu,0.0,0.4404
2016-11-16,Statement on Trump Puts New Balance Shoe Company in Cross Hairs,A comment by an official from the shoemaker about the president-elect’s opposition to a trade deal prompted strong reactions from Trump friends and foes.,Statement on Trump Puts New Balance Shoe Company in Cross Hairs,A comment by an official from the shoemaker about the president-elect’s opposition to a trade deal prompted strong reactions from Trump friends and foes,"Statement, Trump, Puts, New, Balance, Shoe, Company, Cross, Hairs","on, in","Statement, on, Trump, Puts, New, Balance, Shoe, Company, in, Cross, Hairs","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.106, 'neu': 0.669, 'pos': 0.225, 'compound': 0.5267}]",neu,0.0,0.5267
2016-11-16,"Young, Confident and Protesting Trump","Since Donald Trump’s victory, many fear his America doesn’t include them. But protesters are determined to speak up.","Young, Confident and Protesting Trump","Since Donald Trump’s victory, many fear his America doesn’t include them But protesters are determined to speak up","Young, ,, Confident, Protesting, Trump",and,"Young, ,, Confident, and, Protesting, Trump","[{'neg': 0.311, 'neu': 0.333, 'pos': 0.356, 'compound': 0.1027}]",pos,"[{'neg': 0.227, 'neu': 0.667, 'pos': 0.107, 'compound': -0.4019}]",neu,0.1027,-0.4019
2016-11-17,"Automated Pro-Trump Bots Overwhelmed Pro-Clinton Messages, Researchers Say","The purpose of the chatbots was to rant, confuse people or muddy discussions on Twitter in the days before the election, an Oxford University report found.","Automated Pro-Trump Bots Overwhelmed Pro-Clinton Messages, Researchers Say","The purpose of the chatbots was to rant, confuse people or muddy discussions on Twitter in the days before the election, an Oxford University report found","Automated, Pro, -, Trump, Bots, Overwhelmed, Pro, -, Clinton, Messages, ,, Researchers",Say,"Automated, Pro, -, Trump, Bots, Overwhelmed, Pro, -, Clinton, Messages, ,, Researchers, Say","[{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.0516}]",neu,"[{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.5106}]",neu,0.0516,-0.5106
2016-11-17,"Hillary Clinton, in Emotional Speech, Implores Supporters to Keep Believing in America","Holding back tears, Mrs. Clinton spoke at a Children’s Defense Fund gala on Wednesday and asked her supporters not to lose heart after a crushing election loss.","Hillary Clinton, in Emotional Speech, Implores Supporters to Keep Believing in America","Holding back tears, Mrs Clinton spoke at a Children’s Defense Fund gala on Wednesday and asked her supporters not to lose heart after a crushing election loss","Hillary, Clinton, ,, Emotional, Speech, ,, Implores, Supporters, Believing, America","in, to, Keep, in","Hillary, Clinton, ,, in, Emotional, Speech, ,, Implores, Supporters, to, Keep, Believing, in, America","[{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5423}]",neu,"[{'neg': 0.207, 'neu': 0.587, 'pos': 0.206, 'compound': -0.0108}]",neu,0.5423,-0.0108
2016-11-17,White House Confirms Pre-Election Warning to Russia Over Hacking,"Though there is no evidence that voting was disrupted, cybersecurity experts debated whether the warning was a success, and whether Russia had paid enough of a price.",White House Confirms Pre-Election Warning to Russia Over Hacking,"Though there is no evidence that voting was disrupted, cybersecurity experts debated whether the warning was a success, and whether Russia had paid enough of a price","White, House, Confirms, Pre, -, Election, Warning, Russia, Hacking","to, Over","White, House, Confirms, Pre, -, Election, Warning, to, Russia, Over, Hacking","[{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}]",neu,"[{'neg': 0.152, 'neu': 0.726, 'pos': 0.122, 'compound': 0.0258}]",neu,-0.34,0.0258
2016-11-17,The Not-So-Silent White Majority,How is it possible that the supposedly fading constituency of white working class voters played such a decisive role in the 2016 election?,The Not-So-Silent White Majority,How is it possible that the supposedly fading constituency of white working class voters played such a decisive role in the 2016 election?,"-, -, Silent, White, Majority","The, Not, So","The, Not, -, So, -, Silent, White, Majority","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.5106}]",neu,0.0,0.5106
2016-11-17,"After the Election, Some Women Assert Themselves With Small Gestures","Those who feel misogyny carried the day are taking stands against a male-dominated world, from the workplace to rituals like holiday cards.","After the Election, Some Women Assert Themselves With Small Gestures","Those who feel misogyny carried the day are taking stands against a male-dominated world, from the workplace to rituals like holiday cards","Election, ,, Women, Assert, Small, Gestures","After, the, Some, Themselves, With","After, the, Election, ,, Some, Women, Assert, Themselves, With, Small, Gestures","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.6369}]",neu,0.0,0.6369
2016-11-17,The Democrats’ Real Turnout Problem,"Turnout did not plummet this year, as some argued. But it did change.",The Democrats’ Real Turnout Problem,"Turnout did not plummet this year, as some argued But it did change","Democrats, ’, Real, Turnout, Problem",The,"The, Democrats, ’, Real, Turnout, Problem","[{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}]",neu,"[{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.3612}]",neu,-0.4019,-0.3612
2016-11-17,"In Estonia, Caution but Surprising Cheers for Trump’s Victory","Leaders in the country’s capital may be terrified, but on the Russian border people hope Donald J. Trump can lower tensions between Washington and Moscow.","In Estonia, Caution but Surprising Cheers for Trump’s Victory","Leaders in the country’s capital may be terrified, but on the Russian border people hope Donald J Trump can lower tensions between Washington and Moscow","Estonia, ,, Caution, Surprising, Cheers, Trump, Victory","In, but, for, ’s","In, Estonia, ,, Caution, but, Surprising, Cheers, for, Trump, ’s, Victory","[{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.7783}]",compound,"[{'neg': 0.263, 'neu': 0.623, 'pos': 0.114, 'compound': -0.6124}]",neu,0.7783,-0.6124
2016-11-17,Trump and Shinzo Abe to Meet to Discuss Japan Security and Trade,"The United States is Japan’s most important ally, and Prime Minister Shinzo Abe will want to find out how serious Donald Trump was in his campaign criticisms.",Trump and Shinzo Abe to Meet to Discuss Japan Security and Trade,"The United States is Japan’s most important ally, and Prime Minister Shinzo Abe will want to find out how serious Donald Trump was in his campaign criticisms","Trump, Shinzo, Abe, Meet, Discuss, Japan, Security, Trade","and, to, to, and","Trump, and, Shinzo, Abe, to, Meet, to, Discuss, Japan, Security, and, Trade","[{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}]",neu,"[{'neg': 0.102, 'neu': 0.701, 'pos': 0.197, 'compound': 0.4576}]",neu,0.34,0.4576
2016-11-17,"Nikki Haley, Hillary Clinton, Janet Yellen: Your Thursday Briefing",Here’s what you need to know to start your day.,"Nikki Haley, Hillary Clinton, Janet Yellen: Your Thursday Briefing",Here’s what you need to know to start your day,"Nikki, Haley, ,, Hillary, Clinton, ,, Janet, Yellen, :, Thursday, Briefing",Your,"Nikki, Haley, ,, Hillary, Clinton, ,, Janet, Yellen, :, Your, Thursday, Briefing","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
2016-11-17,"Donald Trump’s Son-in-Law, Jared Kushner, Tests Legal Path to White House Job",Such a move could violate federal anti-nepotism law and risk legal challenges and political backlash.,"Donald Trump’s Son-in-Law, Jared Kushner, Tests Legal Path to White House Job",Such a move could violate federal anti-nepotism law and risk legal challenges and political backlash,"Donald, Trump, Son, -, -, Law, ,, Jared, Kushner, ,, Tests, Legal, Path, White, House, Job","’s, in, to","Donald, Trump, ’s, Son, -, in, -, Law, ,, Jared, Kushner, ,, Tests, Legal, Path, to, White, House, Job","[{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.128}]",neu,"[{'neg': 0.293, 'neu': 0.552, 'pos': 0.155, 'compound': -0.5423}]",neu,0.128,-0.5423
